XYZ (16012 points)
377459.528 5135254.760 283.079
376001.008 5142416.620 600.000
376878.535 5148115.960 600.000
375823.942 5153798.160 576.455
377478.505 5160044.160 323.051
374709.893 5165546.070 268.784
373365.233 5172463.100 149.434
367873.630 5174505.120 199.064
371744.379 5180222.490 144.006
369442.024 5187645.430 142.747
368811.145 5195315.750 135.736
370580.658 5202756.060 121.021
366518.404 5209578.160 131.476
363356.113 5218162.330 133.513
360804.237 5228299.970 160.921
360691.982 5238196.530 257.813
363080.774 5246889.230 592.689
359448.773 5255127.670 600.000
357425.820 5264004.270 176.309
350500.000 5265700.000 358.072
352812.619 5272491.430 161.051
347178.699 5280164.460 180.668
343889.128 5290849.900 281.433
339936.630 5301710.290 223.987
335608.497 5312218.290 173.820
332128.915 5322935.570 176.835
330543.694 5333655.930 238.014
321303.860 5338565.660 119.303
316570.484 5349662.160 129.116
308434.167 5360644.730 139.235
301166.233 5371885.060 107.726
294193.885 5382345.540 82.126
286751.570 5391297.230 84.483
286704.717 5399676.250 78.672
280092.410 5408872.860 82.538
272703.023 5418556.470 93.488
268791.682 5429316.210 86.942
260138.575 5435297.070 106.945
251432.048 5434018.980 137.647
252114.150 5445146.390 107.646
243743.580 5454755.460 103.883
234966.875 5461153.780 113.317
229492.370 5469141.320 104.876
227826.019 5477554.090 82.194
220458.362 5481562.730 105.475
219450.115 5490434.210 90.124
213467.671 5494220.570 102.325
208680.095 5499548.350 101.355
206681.596 5505567.730 101.294
202232.887 5509180.410 108.795
200332.796 5514729.030 92.690
195936.065 5517789.210 81.494
193225.769 5523113.500 57.791
187942.548 5525596.880 78.527
183769.638 5530279.540 78.238
185996.953 5537894.450 63.144
181745.424 5541819.460 54.784
175002.431 5540224.480 68.514
170600.882 5545315.220 71.787
168400.000 5553900.000 52.607
162467.167 5554465.460 61.833
156688.168 5556286.580 60.438
153476.901 5561468.310 39.157
149257.841 5566154.380 32.785
145574.345 5570175.140 50.263
144331.689 5574901.630 65.168
142907.442 5580697.130 60.806
138936.643 5586152.640 80.715
135411.093 5591190.290 111.517
131982.995 5595891.450 128.893
128145.647 5600382.460 136.832
123992.776 5605093.710 131.602
119971.739 5610173.620 145.555
116030.757 5615594.480 139.778
112079.093 5621407.350 129.729
108192.946 5627876.940 126.022
104191.096 5635410.140 89.530
96756.113 5643166.350 52.027
99226.406 5648795.380 49.459
95936.342 5655944.300 83.684
90704.916 5662581.590 74.001
97106.701 5664349.840 72.391
102866.546 5668106.610 71.640
105476.347 5675484.810 99.564
112224.028 5682571.980 172.674
108494.668 5691201.370 185.398
115724.256 5698152.920 141.492
124107.157 5699459.290 118.620
128400.560 5707420.890 123.930
137508.004 5707770.880 132.634
141675.664 5714523.780 81.493
146151.125 5719919.870 33.909
407888.788 4943079.400 51.404
415668.644 4943371.590 6.006
399985.471 4948617.820 78.066
399895.724 4958447.000 98.438
400257.548 4967970.310 121.378
401082.897 4976970.270 138.343
403789.835 4984559.210 135.101
400125.204 4991840.730 171.236
401503.794 4999868.240 175.398
396512.819 5004285.040 221.020
396934.569 5012052.310 207.502
397618.781 5020146.340 190.689
398539.526 5028039.150 179.796
398900.983 5036149.090 176.747
399912.632 5044239.890 159.464
393165.625 5049558.630 173.241
394464.153 5058698.600 154.306
395170.271 5066022.730 142.325
393581.166 5072047.210 153.425
392631.724 5078677.510 150.492
391687.976 5085250.950 148.056
390431.272 5091651.910 148.242
388920.601 5097811.250 136.937
388253.818 5104681.900 130.934
386701.252 5111492.100 132.288
386178.365 5117691.210 146.598
386895.726 5122437.930 510.468
385326.254 5127158.920 230.149
384583.958 5133202.800 136.003
382544.750 5139077.860 178.017
382151.364 5144833.380 294.381
382114.251 5150595.050 441.424
382149.256 5155882.720 333.042
383151.226 5160793.700 212.550
381634.366 5165848.210 138.899
379455.362 5171500.590 130.007
378090.265 5177976.980 126.438
376880.677 5184760.260 120.576
375951.356 5191289.530 114.646
376029.454 5197705.280 107.290
377601.675 5203723.350 95.678
374415.964 5209401.260 99.441
372076.362 5216318.060 103.839
369706.526 5223882.460 112.353
368676.252 5232374.570 121.462
370573.115 5240609.320 120.553
370492.647 5247525.860 115.713
369650.657 5254811.940 108.071
366606.180 5263721.780 108.103
363075.264 5272560.630 106.673
358040.263 5280927.690 112.496
353462.379 5289502.690 121.758
349591.591 5299292.260 125.446
345913.750 5309394.040 130.507
342937.863 5319454.250 136.663
340274.444 5329397.580 180.882
339260.539 5339854.830 153.661
328261.215 5344378.750 124.338
326816.524 5354601.530 125.186
319444.830 5361729.600 143.425
312138.453 5371083.710 113.382
306588.413 5382718.810 91.315
297874.445 5392688.300 88.967
294568.044 5404813.870 82.520
289502.678 5412928.210 61.052
284886.688 5420131.770 59.566
277790.410 5425963.140 65.650
277347.675 5433419.680 56.788
273543.009 5437494.890 59.739
267834.753 5439871.170 68.739
262184.850 5445136.050 75.528
259365.754 5451768.070 64.184
253920.447 5455229.720 68.579
251944.377 5460709.010 56.422
248579.086 5463909.000 56.836
243056.301 5465878.180 74.691
236880.168 5469175.940 80.290
235127.668 5475799.030 45.488
235162.910 5482521.530 49.813
229313.755 5485319.600 56.156
225492.299 5489226.730 65.473
227056.106 5496046.410 43.286
221394.069 5498292.230 52.478
216618.364 5502278.320 66.839
213423.659 5507472.610 66.688
210169.982 5512705.250 54.261
207276.827 5517612.790 63.227
203799.959 5522088.320 58.533
199669.502 5525924.860 51.252
195233.976 5530176.360 51.655
190933.765 5534200.150 56.306
194544.702 5542413.870 53.648
189776.281 5546040.670 31.176
185007.861 5549667.460 24.306
177962.980 5546952.220 47.262
174434.292 5551460.680 34.447
176170.797 5557858.470 16.229
165256.158 5562147.430 33.253
159366.530 5561807.870 28.607
153945.741 5566670.030 44.007
149597.657 5571120.870 60.490
148879.263 5576414.150 61.029
148707.634 5581790.170 37.565
144748.636 5586454.520 40.569
141486.263 5591475.630 85.567
138724.394 5596331.130 90.092
135297.500 5600480.110 76.732
130745.711 5604440.410 80.270
126490.772 5609184.540 64.044
122809.864 5614318.380 82.521
119276.017 5619779.330 73.965
115904.221 5625516.340 75.775
113056.012 5631687.430 78.651
112057.685 5637610.510 69.256
